Final TimeShift. ns
-248
Plane  Strip  TimeShift. ns
16 17 8.432868
16 18 8.427969
16 19 8.423273
16 20 8.418781
16 21 8.414494
16 22 8.410411
16 23 8.406532
16 24 8.402859
16 25 8.399391
16 26 8.396129
16 27 8.393073
16 28 8.390223
16 29 8.387579
16 30 8.385141
16 31 8.382911
16 32 8.380887
16 33 8.37907
16 34 8.37746
16 35 8.376058
16 36 8.374863
16 37 8.373875
16 38 8.373095
16 39 8.372522
16 40 8.372157
16 41 8.372
16 42 8.37205
16 43 8.372308
16 44 8.372774
16 45 8.373447
16 46 8.374328
16 47 8.375416
17 0 8.365302
17 1 8.356827
17 2 8.348552
17 3 8.340477
17 4 8.332603
17 5 8.32493
17 6 8.31746
17 7 8.310191
17 8 8.303126
17 9 8.296265
17 10 8.289607
17 11 8.283154
17 12 8.276906
17 13 8.270863
17 14 8.265027
17 15 8.259396
17 16 8.253973
17 17 8.248757
17 18 8.243748
17 19 8.238947
17 20 8.234355
17 21 8.229971
17 22 8.225796
17 23 8.221831
17 24 8.218075
17 25 8.21453
17 26 8.211194
17 27 8.208069
17 28 8.205154
17 29 8.202451
17 30 8.199959
17 31 8.197677
17 32 8.195608
17 33 8.19375
17 34 8.192104
17 35 8.19067
17 36 8.189447
17 37 8.188437
17 38 8.18764
17 39 8.187054
17 40 8.186681
17 41 8.18652
17 42 8.186571
17 43 8.186835
17 44 8.187311
17 45 8.188
17 46 8.188901
17 47 8.190014
18 0 8.559621
18 1 8.551338
18 2 8.543252
18 3 8.535361
18 4 8.527667
18 5 8.52017
18 6 8.512871
18 7 8.50577
18 8 8.498867
18 9 8.492163
18 10 8.48566
18 11 8.479356
18 12 8.473252
18 13 8.46735
18 14 8.461649
18 15 8.456149
18 16 8.450852
18 17 8.445758
18 18 8.440866
18 19 8.436177
18 20 8.431692
18 21 8.427411
18 22 8.423334
18 23 8.419462
18 24 8.415795
18 25 8.412332
18 26 8.409075
18 27 8.406023
18 28 8.403178
18 29 8.400538
18 30 8.398104
18 31 8.395877
18 32 8.393856
18 33 8.392042
18 34 8.390435
18 35 8.389035
18 36 8.387841
18 37 8.386855
18 38 8.386076
18 39 8.385505
18 40 8.38514
18 41 8.384983
18 42 8.385033
18 43 8.385291
18 44 8.385756
18 45 8.386428
18 46 8.387308
18 47 8.388394
19 0 8.569732
19 1 8.56146
19 2 8.553383
19 3 8.545502
19 4 8.537817
19 5 8.530329
19 6 8.523038
19 7 8.515945
19 8 8.509051
19 9 8.502356
19 10 8.495859
19 11 8.489563
19 12 8.483467
19 13 8.477572
19 14 8.471878
19 15 8.466385
19 16 8.461094
19 17 8.456006
19 18 8.45112
19 19 8.446437
19 20 8.441957
19 21 8.437682
19 22 8.43361
19 23 8.429742
19 24 8.426079
19 25 8.422621
19 26 8.419368
19 27 8.41632
19 28 8.413478
19 29 8.410841
19 30 8.40841
19 31 8.406186
19 32 8.404168
19 33 8.402356
19 34 8.40075
19 35 8.399352
19 36 8.39816
19 37 8.397175
19 38 8.396397
19 39 8.395826
19 40 8.395462
19 41 8.395305
19 42 8.395356
19 43 8.395613
19 44 8.396077
19 45 8.396749
19 46 8.397627
19 47 8.398712
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
