run	BC1	BC2	BC3	BC4	BC5
1032	2089.5050156947	1801.7539094670	4726.9293822206	5110.5622093519	4263.9636405622
1033	2090.4412739337	1801.8606865207	4726.6485975755	5110.5045321344	4263.6660041913
1034	2091.2238911069	1801.7367099252	4726.3380257027	5110.4450200048	4263.3395597880
1035	2091.8464586058	1801.3681112732	4725.9969217233	5110.3837504052	4262.9832699835
1036	2092.3130187864	1800.7410221572	4725.6245407587	5110.3208007775	4262.5960974093
1037	2092.6302267459	1799.8491997008	4725.2201379300	5110.2562485637	4262.1770046967
1038	2092.8047375817	1798.7169031517	4724.7829683584	5110.1901712058	4261.7249544770
1039	2092.8432063910	1797.3760172883	4724.3122871653	5110.1226461459	4261.2389093817
1040	2092.7522882711	1795.8584268891	4723.8073494719	5110.0537508260	4260.7178320419
1041	2092.5386383193	1794.1960167328	4723.2674103994	5109.9835626880	4260.1606850892
1042	2092.2089116328	1792.4206715979	4722.6917250690	5109.9121591739	4259.5664311549
1043	2091.7697633090	1790.5642762629	4722.0795486019	5109.8396177258	4258.9340328703
1044	2091.2278484450	1788.6587155064	4721.4301361195	5109.7660157857	4258.2624528667
1045	2090.5898221383	1786.7358741069	4720.7427427430	5109.6914307955	4257.5506537756
1046	2089.8623394860	1784.8276368430	4720.0166235935	5109.6159401974	4256.7975982282
1047	2089.0520555854	1782.9658884932	4719.2510337924	5109.5396214332	4256.0022488559
1048	2088.1656255339	1781.1825138360	4718.4452284608	5109.4625519450	4255.1635682902
1049	2087.2097044286	1779.5093976501	4717.5984627201	5109.3848091748	4254.2805191622
1050	2086.1909473669	1777.9784247139	4716.7099916913	5109.3064705645	4253.3520641035
1051	2085.1160094461	1776.6214798060	4715.7790704959	5109.2276135563	4252.3771657453
1052	2083.9915457634	1775.4704477050	4714.8049542550	5109.1483155922	4251.3547867190
1053	2082.8242114160	1774.5516380500	4713.7886796900	5109.0686086460	4250.2857176407
1054	2081.6206615013	1773.8690599233	4712.7384099232	5108.9883428199	4249.1780610660
1055	2080.3875511166	1773.4211472676	4711.6640896769	5108.9073227478	4248.0417475350
1056	2079.1315353591	1773.2063340257	4710.5756636735	5108.8253530638	4246.8867075881
1057	2077.8592693261	1773.2230541404	4709.4830766354	5108.7422384020	4245.7228717655
1058	2076.5774081149	1773.4697415545	4708.3962732850	5108.6577833964	4244.5601706075
1059	2075.2926068227	1773.9448302109	4707.3251983446	5108.5717926809	4243.4085346543
1060	2074.0115205469	1774.6467540523	4706.2797965367	5108.4840708896	4242.2778944462
1061	2072.7408043846	1775.5739470215	4705.2700125836	5108.3944226566	4241.1781805235
1062	2071.4871134333	1776.7248430614	4704.3057912078	5108.3026526159	4240.1193234265
