Common TimeShift, ns
566
Plane	 Strip	 TimeShift, ns
26	10	21.8342
26	11	21.8027
26	12	21.8222
26	13	21.8407
26	14	21.8557
26	15	21.8282
26	16	21.8110
26	17	21.8944
26	18	21.7791
26	19	21.8305
26	20	21.8224
26	21	21.7826
26	22	21.7877
26	23	21.8093
26	24	21.7734
26	25	21.7695
26	26	21.7416
26	27	21.6984
26	28	21.7318
26	29	21.7745
26	30	21.7631
26	31	21.7386
27	0	20.8189
27	1	21.2359
27	2	21.2183
27	3	21.2280
27	4	21.2232
27	5	21.1711
27	6	21.2227
27	7	21.1743
27	8	21.2478
27	9	21.2374
27	10	21.2220
27	11	21.2097
27	12	21.2066
27	13	21.2097
27	14	21.1958
27	15	21.1715
27	16	21.1666
27	17	21.2123
27	18	21.1912
27	19	21.1623
27	20	21.1905
27	21	21.1834
27	22	21.1730
27	23	21.2039
27	24	21.1941
27	25	21.1857
27	26	21.1890
27	27	21.1524
27	28	21.1598
27	29	21.1675
27	30	21.1874
27	31	21.1313
28	0	20.4303
28	1	20.8253
28	2	20.8193
28	3	20.8111
28	4	20.8140
28	5	20.8172
28	6	20.8176
28	7	20.8240
28	8	20.7908
28	9	20.8079
28	10	20.8144
28	11	20.7907
28	12	20.7904
28	13	20.7926
28	14	20.8033
28	15	20.8036
28	16	20.8010
28	17	20.7846
28	18	20.7789
28	19	20.7834
28	20	20.7840
28	21	20.7635
28	22	20.7752
28	23	20.7496
28	24	20.7539
28	25	20.7625
28	26	20.7450
28	27	20.7688
28	28	20.7360
28	29	20.7319
28	30	20.7493
28	31	20.7487
29	0	20.6120
29	1	21.0156
29	2	20.9852
29	3	20.9770
29	4	20.9670
29	5	20.9509
29	6	20.9655
29	7	20.9474
29	8	20.9264
29	9	20.9630
29	10	20.9764
29	11	20.9521
29	12	20.9522
29	13	20.9352
29	14	20.9469
29	15	20.9329
29	16	20.9335
29	17	20.9214
29	18	20.9300
29	19	20.9140
29	20	20.9138
29	21	20.9075
29	22	20.9271
29	23	20.9214
29	24	20.9147
29	25	20.9130
29	26	20.8990
29	27	20.9230
29	28	20.8889
29	29	20.8939
29	30	20.8991
29	31	20.9012
30	0	20.2451
30	1	19.8602
30	2	19.9777
30	3	19.6475
30	4	19.7744
30	5	19.5273
30	6	19.9738
30	7	15.3838
30	8	20.9949
30	9	27.0027
30	10	20.0712
30	11	20.0315
30	12	20.0484
30	13	20.0185
30	14	20.1172
30	15	19.8100
30	16	20.2062
30	17	19.4229
30	18	19.6710
30	19	19.7299
30	20	22.6087
30	21	19.8712
30	22	19.7886
30	23	19.5603
30	24	19.7546
30	25	19.7579
30	26	17.7950
30	27	19.9484
30	28	24.5129
30	29	22.6896
30	30	19.8170
30	31	16.1504
31	0	20.4533
31	1	20.7770
31	2	20.7680
31	3	20.7617
31	4	20.7435
31	5	20.7612
31	6	20.7433
31	7	20.7446
31	8	20.7358
31	9	20.7440
31	10	20.7311
31	11	20.7201
31	12	20.7283
31	13	20.7226
31	14	20.7301
31	15	20.7334
31	16	20.7220
31	17	20.7122
31	18	20.7065
31	19	20.7150
31	20	20.7047
31	21	20.7065
31	22	20.7060
31	23	20.6941
31	24	20.7004
31	25	20.6838
31	26	20.6669
31	27	20.6798
31	28	20.6705
31	29	20.6666
31	30	20.6637
31	31	20.6634
32	0	20.1074
32	1	20.4389
32	2	20.4348
32	3	20.4063
32	4	20.3977
32	5	20.4000
32	6	20.4101
32	7	20.3808
32	8	20.3965
32	9	20.4038
32	10	20.3990
32	11	20.3866
32	12	20.3822
32	13	20.3742
32	14	20.3690
32	15	20.3630
32	16	20.3723
32	17	20.3727
32	18	20.3489
32	19	20.3441
32	20	20.3363
32	21	20.3461
32	22	20.3480
32	23	20.3383
32	24	20.3217
32	25	20.2515
32	26	20.3339
32	27	20.3214
32	28	20.3171
32	29	20.3121
32	30	20.3093
32	31	20.2933
33	0	20.3365
33	1	20.6501
33	2	20.6371
33	3	20.6439
33	4	20.6263
33	5	20.6315
33	6	20.6389
33	7	20.6254
33	8	20.6249
33	9	20.6146
33	10	20.6120
33	11	20.5980
33	12	20.5963
33	13	20.6055
33	14	20.5956
33	15	20.5975
33	16	20.5861
33	17	20.5968
33	18	20.5858
33	19	20.5868
33	20	20.5749
33	21	20.5597
33	22	20.5647
33	23	20.5633
33	24	20.5553
33	25	20.5608
33	26	20.5564
33	27	20.5609
33	28	20.5314
33	29	20.5458
33	30	20.5248
33	31	20.5328
34	0	20.0204
34	1	20.3296
34	2	20.3340
34	3	20.3515
34	4	20.3154
34	5	20.3223
34	6	20.3111
34	7	20.3108
34	8	20.3133
34	9	20.3154
34	10	20.2844
34	11	20.2843
34	12	20.2766
34	13	20.2943
34	14	20.2605
34	15	20.2591
34	16	20.2699
34	17	20.2615
34	18	20.2561
34	19	20.2355
34	20	20.2423
34	21	20.2523
34	22	20.2409
34	23	20.2164
34	24	20.2584
34	25	20.2424
34	26	20.2236
34	27	20.2028
34	28	20.2130
34	29	20.2169
34	30	20.1956
34	31	20.2218
35	0	20.2827
35	1	20.6294
35	2	20.6143
35	3	20.5971
35	4	20.5973
35	5	20.5971
35	6	20.6139
35	7	20.5817
35	8	20.5889
35	9	20.5915
35	10	20.5844
35	11	20.5733
35	12	20.5414
35	13	20.5735
35	14	20.5549
35	15	20.5456
35	16	20.5526
35	17	20.5797
35	18	20.5498
35	19	20.5316
35	20	20.5175
35	21	20.5362
35	22	20.5211
35	23	20.5063
35	24	20.5277
35	25	20.5295
35	26	20.5447
35	27	20.5029
35	28	20.4811
35	29	20.4902
35	30	20.4733
35	31	20.4777
36	0	19.9786
36	1	20.3442
36	2	20.3162
36	3	20.2935
36	4	20.2867
36	5	20.2943
36	6	20.2896
36	7	20.2861
36	8	20.2847
36	9	20.2664
36	10	20.2740
36	11	20.2669
36	12	20.2416
36	13	20.2543
36	14	20.2501
36	15	20.2351
36	16	20.2391
36	17	20.2565
36	18	20.2386
36	19	20.2384
36	20	20.2235
36	21	20.2320
36	22	20.2298
36	23	20.2140
36	24	20.2236
36	25	20.2400
36	26	20.2139
36	27	20.2193
36	28	20.1946
36	29	20.2137
36	30	20.2063
36	31	20.1967
37	0	20.2684
37	1	20.6174
37	2	20.6181
37	3	20.6024
37	4	20.5979
37	5	20.2545
37	6	20.5968
37	7	20.5967
37	8	20.5989
37	9	20.6140
37	10	20.5862
37	11	20.5810
37	12	20.5684
