Final TimeShift. ns
-248
Plane  Strip  TimeShift. ns
16 7 8.514904
16 8 8.50787
16 9 8.501034
16 10 8.494397
16 11 8.48796
16 12 8.481723
16 13 8.475687
16 14 8.469851
16 15 8.464217
16 16 8.458785
16 17 8.453555
16 18 8.448527
16 19 8.443702
16 20 8.439081
16 21 8.434663
16 22 8.430449
16 23 8.426439
16 24 8.422634
16 25 8.419033
16 26 8.415638
16 27 8.412448
16 28 8.409463
16 29 8.406684
16 30 8.404111
16 31 8.401745
16 32 8.399584
16 33 8.39763
16 34 8.395883
16 35 8.394342
16 36 8.393008
16 37 8.391882
16 38 8.390962
16 39 8.390249
16 40 8.389744
16 41 8.389445
16 42 8.389354
16 43 8.38947
16 44 8.389794
16 45 8.390324
16 46 8.391062
16 47 8.392007
17 0 8.388244
17 1 8.379651
17 2 8.371257
17 3 8.363062
17 4 8.355068
17 5 8.347274
17 6 8.339681
17 7 8.33229
17 8 8.325101
17 9 8.318115
17 10 8.311332
17 11 8.304753
17 12 8.298378
17 13 8.292208
17 14 8.286244
17 15 8.280485
17 16 8.274932
17 17 8.269585
17 18 8.264446
17 19 8.259514
17 20 8.254789
17 21 8.250272
17 22 8.245964
17 23 8.241865
17 24 8.237974
17 25 8.234293
17 26 8.230821
17 27 8.22756
17 28 8.224508
17 29 8.221666
17 30 8.219036
17 31 8.216616
17 32 8.214406
17 33 8.212408
17 34 8.210622
17 35 8.209046
17 36 8.207682
17 37 8.20653
17 38 8.205589
17 39 8.204861
17 40 8.204344
17 41 8.204039
17 42 8.203945
17 43 8.204064
17 44 8.204395
17 45 8.204937
17 46 8.205692
17 47 8.206658
18 0 8.58232
18 1 8.573921
18 2 8.565717
18 3 8.557709
18 4 8.549896
18 5 8.54228
18 6 8.534861
18 7 8.527639
18 8 8.520615
18 9 8.513789
18 10 8.507162
18 11 8.500735
18 12 8.494507
18 13 8.48848
18 14 8.482653
18 15 8.477028
18 16 8.471604
18 17 8.466381
18 18 8.461361
18 19 8.456544
18 20 8.45193
18 21 8.447518
18 22 8.443311
18 23 8.439307
18 24 8.435508
18 25 8.431913
18 26 8.428523
18 27 8.425337
18 28 8.422357
18 29 8.419583
18 30 8.417014
18 31 8.414651
18 32 8.412493
18 33 8.410542
18 34 8.408798
18 35 8.407259
18 36 8.405928
18 37 8.404803
18 38 8.403884
18 39 8.403173
18 40 8.402668
18 41 8.40237
18 42 8.402279
18 43 8.402395
18 44 8.402718
18 45 8.403248
18 46 8.403984
18 47 8.404928
19 0 8.592099
19 1 8.58371
19 2 8.575515
19 3 8.567516
19 4 8.559712
19 5 8.552105
19 6 8.544694
19 7 8.53748
19 8 8.530464
19 9 8.523647
19 10 8.517027
19 11 8.510608
19 12 8.504387
19 13 8.498367
19 14 8.492547
19 15 8.486928
19 16 8.48151
19 17 8.476294
19 18 8.47128
19 19 8.466468
19 20 8.461859
19 21 8.457453
19 22 8.45325
19 23 8.449252
19 24 8.445457
19 25 8.441866
19 26 8.43848
19 27 8.435298
19 28 8.432322
19 29 8.42955
19 30 8.426984
19 31 8.424624
19 32 8.422469
19 33 8.420521
19 34 8.418778
19 35 8.417242
19 36 8.415911
