TimeShift by Proton p>2GeV/c. Common TimeShift, ns
545
Plane	Strip	TimeShift, ns
13	38	21.4678
13	39	21.4155
13	40	21.4072
13	41	21.4928
13	42	21.1576
13	43	21.4323
13	44	21.3076
13	45	21.1835
13	46	21.4787
13	47	21.3936
14	0	21.6939
14	1	21.5378
14	2	21.7086
14	3	21.7016
14	4	21.5959
14	5	21.676
14	6	21.5495
14	7	21.6087
14	8	21.5516
14	9	21.5632
14	10	21.5304
14	11	21.5955
14	12	21.6313
14	13	21.6909
14	14	21.729
14	15	21.674
14	16	21.6153
14	17	21.6518
14	18	21.5255
14	19	21.6299
14	20	21.5335
14	21	21.5211
14	22	21.6754
14	23	21.5026
14	24	21.5146
14	25	21.4619
14	26	21.5421
14	27	21.653
14	28	21.4779
14	29	21.5632
14	30	21.4364
14	31	21.5004
14	32	21.3712
14	33	21.4121
14	34	21.4256
14	35	21.4387
14	36	21.4786
14	37	21.4226
14	38	21.4143
14	39	21.4988
14	40	21.2821
14	41	21.369
14	42	21.2894
14	43	21.3539
14	44	21.1864
14	45	21.3388
14	46	21.3695
14	47	21.227
15	0	16.1851
15	1	16.2431
15	2	16.0946
15	3	16.029
15	4	16.1072
15	5	16.0621
15	6	16.1214
15	7	16.0543
15	8	16.1758
15	9	16.21
15	10	16.1499
15	11	16.0869
15	12	16.0257
15	13	16.0075
15	14	15.9461
15	15	15.9768
15	16	16.0359
15	17	15.8984
15	18	15.9771
15	19	15.9133
15	20	16.0418
15	21	15.884
15	22	15.8238
15	23	15.8958
15	24	15.8652
15	25	15.9161
15	26	15.8522
15	27	15.7512
15	28	15.8768
15	29	15.8132
15	30	15.8753
15	31	15.7891
15	32	16.0098
15	33	15.7639
15	34	15.7531
15	35	15.7862
15	36	15.7239
15	37	15.6869
15	38	15.6762
15	39	15.724
15	40	15.6712
15	41	15.5368
15	42	15.7227
15	43	15.542
15	44	15.7155
15	45	15.6108
15	46	15.4223
15	47	15.5272
16	0	16.2031
16	1	16.2319
16	2	16.0258
16	3	16.03
16	4	16.1072
16	5	15.9492
16	6	16.1692
16	7	16.0321
