nRun 0.000 0.000 ZcoorHe_С
3154 0.984 -0.025 2.275
3155 0.984 -0.025 6.125
3157 0.984 -0.025 2.325
3160 0.968 0.073 2.325
3161 0.968 0.024 2.375
3162 0.984 -0.074 6.175
3163 0.968 0.073 2.325
3164 0.984 -0.025 2.375
3165 0.968 0.024 2.325
3166 0.952 0.119 2.325
3167 0.952 0.119 6.175
3168 0.952 0.119 2.325
3170 0.952 0.119 2.325
3172 0.968 0.024 2.325
3174 0.968 0.024 2.325
3176 0.968 0.024 6.175
3178 0.952 0.119 2.325
3180 0.952 0.119 2.325
3181 0.938 0.211 2.275
3182 0.952 0.119 2.325
3183 0.968 0.073 2.275
3184 0.968 0.024 6.175
3185 0.968 0.024 2.325
3187 0.938 0.164 2.275
3188 0.968 0.024 2.275
3189 0.968 0.073 2.275
3190 0.968 0.024 6.175
3192 0.938 0.164 2.275
3193 0.952 0.119 2.275
3194 0.968 0.024 2.325
3195 0.952 0.119 2.325
3196 0.968 0.024 6.175
3197 0.952 0.071 6.225
3199 0.952 0.071 2.275
3200 0.952 0.071 2.275
3202 0.952 0.071 2.375
3205 0.952 0.071 6.225
3206 0.968 0.024 2.325
3207 0.952 0.071 2.275
3208 0.968 0.024 2.325
3210 0.938 0.164 2.325
3211 0.952 0.071 6.225
3212 0.952 0.119 6.175
3213 0.938 0.164 2.325
3214 0.952 0.071 2.325
3216 0.968 0.024 2.275
3217 0.952 0.119 2.325
3218 0.968 0.024 6.175
3219 0.968 -0.024 2.325
3220 0.984 -0.074 2.325
3224 0.952 0.119 2.325
3225 0.968 0.073 6.125
3229 0.952 0.119 2.325
3230 0.923 0.208 2.275
3231 0.968 0.073 2.325
3232 0.968 0.073 2.275
3233 0.968 0.073 2.325
3234 0.984 0.025 2.225
3235 0.968 0.073 2.275
3236 0.984 -0.025 2.275
3237 0.952 0.119 2.275
3239 0.968 0.073 6.125
3241 0.952 0.119 2.325
3243 0.984 -0.025 2.325
3246 0.923 0.254 2.325
3247 0.952 0.167 2.325
3248 0.952 0.119 2.275
3249 0.968 0.073 2.325
3252 0.952 0.119 2.275
3253 0.984 0.025 2.325
3254 0.952 0.167 6.125
3255 0.984 -0.025 6.125
3257 0.968 0.121 2.275
3258 0.984 0.025 2.325
3259 0.984 0.025 2.275
3275 0.822 1.048 6.025
3280 1.000 0.025 5.975
3286 0.811 1.115 6.025
3292 1.017 -0.076 5.975
3302 1.000 0.025 5.975
3308 1.017 -0.025 5.925
3314 1.000 0.025 5.975
3319 0.984 0.123 5.975
3323 0.811 1.277 1.375
3325 1.000 0.125 5.875
3332 0.968 0.121 2.275
3335 0.968 0.121 2.275
3338 1.000 -0.025 6.025
3339 0.984 0.074 2.225
3341 0.984 0.074 2.275
3342 0.984 0.074 2.275
3343 1.000 -0.025 2.275
3344 1.000 -0.025 6.025
3345 1.000 -0.025 2.225
3347 1.000 -0.025 2.225
3348 0.984 0.074 2.275
3349 1.017 -0.076 2.325
3350 0.984 0.025 6.075
3351 0.984 0.025 2.275
3352 0.984 0.074 2.275
3353 1.017 -0.025 2.275
3354 0.984 0.074 2.275
3355 1.000 0.025 2.275
3356 1.000 0.025 5.975
3357 1.017 -0.025 2.275
3362 1.000 0.025 2.225
3365 1.000 0.025 2.275
3366 1.017 -0.025 2.275
3367 1.000 0.025 5.975
3368 1.000 0.075 2.225
3369 1.017 -0.025 2.225
3370 1.000 0.025 2.225
3374 1.000 0.075 2.225
3376 1.017 -0.025 2.275
3378 1.000 0.025 5.975
3380 1.000 0.025 2.175
3381 1.017 -0.025 2.225
3382 1.000 0.075 2.225
3383 1.000 0.025 5.975
3385 1.000 0.025 2.225
3390 1.000 0.025 2.275
3391 1.000 0.025 5.975
3393 0.968 0.169 2.275
3394 1.000 0.025 2.225
3395 0.984 0.074 2.275
3396 0.984 0.074 6.025
3398 0.984 0.123 2.275
3399 1.000 0.025 2.275
3400 0.952 0.214 2.275
3401 1.000 0.025 5.975
3402 1.000 0.025 2.225
3403 1.017 -0.025 2.275
