nRun 0.000 0.000 ZcoorHe
3253 0.984 -0.025 2.325
3254 0.984 -0.025 6.125
3255 0.984 -0.025 6.125
3257 0.968 0.073 2.275
3258 0.968 0.073 2.325
3259 0.984 -0.025 3.075
3264 1.000 0.125 2.125
3270 1.053 -0.132 2.175
3271 0.923 0.254 2.225
3272 1.034 -0.026 2.075
3273 1.034 -0.078 2.125
3275 1.000 0.025 0.000
3276 1.034 -0.078 2.175
3277 1.053 -0.184 2.075
3278 1.017 0.025 2.175
3279 1.017 -0.025 0.000
3280 1.017 -0.025 0.000
3281 0.968 0.169 2.125
3282 1.034 -0.078 0.000
3284 1.034 -0.129 2.175
3285 0.984 0.123 2.125
3286 1.017 -0.025 0.000
3287 1.017 0.076 2.125
3288 0.984 0.123 2.125
3289 1.053 -0.079 2.175
3291 0.968 0.266 2.025
3292 1.034 -0.078 0.000
3293 1.017 -0.025 2.125
3294 1.017 0.025 2.125
3300 0.968 0.169 2.075
3301 0.968 0.169 2.175
3302 1.000 0.025 0.000
3303 1.034 -0.026 2.175
3305 1.000 0.025 2.075
3306 1.017 0.025 2.125
3307 1.017 0.025 2.125
3308 1.034 -0.129 0.000
3310 0.938 0.258 2.125
3311 0.938 0.305 2.075
3312 1.000 0.075 2.125
3313 1.000 0.075 2.125
3314 1.017 -0.025 0.000
3315 0.984 0.172 2.125
3316 1.034 -0.026 2.075
3317 1.017 0.025 2.175
3318 1.000 0.075 2.125
3319 1.017 0.025 0.000
3320 1.017 -0.025 2.075
3321 0.938 0.305 2.125
3322 1.017 0.076 2.075
3323 1.017 0.076 2.125
3324 1.017 0.076 2.125
3325 1.034 -0.026 0.000
3326 1.000 0.175 2.075
3327 1.034 -0.026 2.075
3328 1.000 0.125 2.125
3332 1.000 -0.025 2.325
3335 0.984 0.025 2.275
3338 1.000 -0.025 6.025
3339 0.984 0.025 2.275
3340 0.968 0.121 2.275
3341 1.000 -0.025 2.275
3342 1.000 -0.025 2.325
3343 1.000 -0.025 2.275
3344 1.000 -0.025 0.000
3345 1.000 -0.025 2.225
3347 1.000 -0.025 2.225
3348 0.968 0.121 2.275
3349 1.000 -0.025 2.325
3350 0.984 0.025 0.000
3351 0.968 0.073 2.275
3352 0.968 0.121 2.325
3353 1.000 0.025 2.275
3354 0.984 0.074 2.275
3355 1.017 -0.076 2.325
3356 1.000 0.025 5.975
3357 1.017 -0.076 2.275
3358 1.000 0.075 2.925
3360 1.000 0.025 2.275
3362 1.000 0.025 2.975
3365 1.000 0.025 2.275
3366 1.000 0.025 2.275
3367 1.000 0.025 5.975
3368 1.000 0.025 2.275
3369 1.000 0.025 2.275
3370 1.000 0.025 2.225
