ncrates
2

crate	crateID
0	0x68C99E
1	0x6912B2

nslots
15

crate	slot	dnltype		dnlfile
0	0	2		TDC_FFD_INL.dat
1	16	39		10		24		1
1	16	40		10		25		1
1	16	41		10		26		1
1	16	42		10		27		1
1	16	43		10		28		1
1	16	44		10		29		1
1	16	45		10		30		1
1	16	46		10		31		1
1	16	47		10		32		1
1	16	48		10		17		2
1	16	49		10		18		2
1	16	50		10		19		2
1	16	51		10		20		2
1	16	52		10		21		2
1	16	53		10		22		2
1	16	54		10		23		2
1	16	55		10		24		2
1	16	56		10		25		2
1	16	57		10		26		2
1	16	58		10		27		2
1	16	59		10		28		2
1	16	60		10		29		2
1	16	61		10		30		2
1	16	62		10		31		2
1	16	63		10		32		2
1	17	0		4		1		1
1	17	1		4		2		1
1	17	2		4		3		1
1	17	3		4		4		1
1	17	4		4		5		1
1	17	5		4		6		1
1	17	6		4		7		1
1	17	7		4		8		1
1	17	8		4		9		1
1	17	9		4		10		1
1	17	10		4		11		1
1	17	11		4		12		1
1	17	12		4		13		1
1	17	13		4		14		1
1	17	14		4		15		1
1	17	15		4		16		1
1	17	16		4		1		2
1	17	17		4		2		2
1	17	18		4		3		2
1	17	19		4		4		2
1	17	20		4		5		2
1	17	21		4		6		2
1	17	22		4		7		2
1	17	23		4		8		2
1	17	24		4		9		2
1	17	25		4		10		2
1	17	26		4		11		2
1	17	27		4		12		2
1	17	28		4		13		2
1	17	29		4		14		2
1	17	30		4		15		2
1	17	31		4		16		2
1	17	32		4		17		1
1	17	33		4		18		1
1	17	34		4		19		1
1	17	35		4		20		1
1	17	36		4		21		1
1	17	37		4		22		1
1	17	38		4		23		1
1	17	39		4		24		1
1	17	40		4		25		1
1	17	41		4		26		1
1	17	42		4		27		1
1	17	43		4		28		1
1	17	44		4		29		1
1	17	45		4		30		1
1	17	46		4		31		1
1	17	47		4		32		1
1	17	48		4		17		2
1	17	49		4		18		2
1	17	50		4		19		2
1	17	51		4		20		2
1	17	52		4		21		2
1	17	53		4		22		2
1	17	54		4		23		2
1	17	55		4		24		2
1	17	56		4		25		2
1	17	57		4		26		2
1	17	58		4		27		2
1	17	59		4		28		2
1	17	60		4		29		2
1	17	61		4		30		2
1	17	62		4		31		2
1	17	63		4		32		2
1	18	0		8		1		1
1	18	1		8		2		1
1	18	2		8		3		1
1	18	3		8		4		1
1	18	4		8		5		1
1	18	5		8		6		1
1	18	6		8		7		1
1	18	7		8		8		1
1	18	8		8		9		1
1	18	9		8		10		1
1	18	10		8		11		1
1	18	11		8		12		1
1	18	12		8		13		1
1	18	13		8		14		1
1	18	14		8		15		1
1	18	15		8		16		1
1	18	16		8		1		2
1	18	17		8		2		2
1	18	18		8		3		2
1	18	19		8		4		2
1	18	20		8		5		2
1	18	21		8		6		2
1	18	22		8		7		2
1	18	23		8		8		2
1	18	24		8		9		2
1	18	25		8		10		2
1	18	26		8		11		2
1	18	27		8		12		2
1	18	28		8		13		2
1	18	29		8		14		2
1	18	30		8		15		2
1	18	31		8		16		2
1	18	32		8		17		1
1	18	33		8		18		1
1	18	34		8		19		1
1	18	35		8		20		1
1	18	36		8		21		1
1	18	37		8		22		1
1	18	38		8		23		1
1	18	39		8		24		1
1	18	40		8		25		1
1	18	41		8		26		1
1	18	42		8		27		1
1	18	43		8		28		1
1	18	44		8		29		1
1	18	45		8		30		1
1	18	46		8		31		1
1	18	47		8		32		1
1	18	48		8		17		2
1	18	49		8		18		2
1	18	50		8		19		2
1	18	51		8		20		2
1	18	52		8		21		2
1	18	53		8		22		2
1	18	54		8		23		2
1	18	55		8		24		2
1	18	56		8		25		2
1	18	57		8		26		2
1	18	58		8		27		2
1	18	59		8		28		2
1	18	60		8		29		2
1	18	61		8		30		2
1	18	62		8		31		2
1	18	63		8		32		2
1	19	0		2		1		1
1	19	1		2		2		1
1	19	2		2		3		1
1	19	3		2		4		1
1	19	4		2		5		1
1	19	5		2		6		1
1	19	6		2		7		1
1	19	7		2		8		1
1	19	8		2		9		1
1	19	9		2		10		1
1	19	10		2		11		1
1	19	11		2		12		1
1	19	12		2		13		1
1	19	13		2		14		1
1	19	14		2		15		1
1	19	15		2		16		1
1	19	16		2		1		2
1	19	17		2		2		2
1	19	18		2		3		2
1	19	19		2		4		2
1	19	20		2		5		2
1	19	21		2		6		2
1	19	22		2		7		2
