Plane	Strip	Mean
19	8	0.140625
19	9	0.175781
19	10	0.164062
19	11	0.117188
19	12	0.128906
19	13	0.140625
19	14	0.09375
19	15	-7.34119e-18
19	16	0
19	17	-0.234375
19	18	-0.1875
19	19	-0.164063
19	20	-0.1875
19	21	-0.105469
19	22	-0.269531
19	23	-0.292969
19	24	-0.0117187
19	25	-0.0234375
19	26	-0.0585938
19	27	3.89355e-17
19	28	0.046875
19	29	0.0117188
19	30	-0.0234375
19	31	0.117188
20	0	0
20	1	0.152344
20	2	0.128906
20	3	0.152344
20	4	0.199219
20	5	0.175781
20	6	0.375
20	7	0.292969
20	8	0
20	9	-0.0820312
20	10	-0.0703125
20	11	0.0585937
20	12	0.09375
20	13	-0.0351562
20	14	-0.0703125
20	15	0.046875
20	16	0.0351563
20	17	0.0585938
20	18	0.152344
20	19	0.117187
20	20	0.152344
20	21	0.0234375
20	22	0.210938
20	23	0.128906
20	24	-0.152344
20	25	-0.0820312
20	26	-0.117187
20	27	-0.09375
20	28	-0.164062
20	29	-0.128906
20	30	-0.175781
20	31	-0.0820312
21	0	0
21	1	-0.152344
21	2	0.0351563
21	3	-0.164063
21	4	0.0585938
21	5	0.0234375
21	6	0.164063
21	7	0.1875
21	8	0.117188
21	9	-0.0351563
21	10	-0.199219
21	11	-0.246094
21	12	-0.0117188
21	13	-0.0585938
21	14	0.105469
21	15	-0.0234375
21	16	0.152344
21	17	-0.246094
21	18	-0.246094
21	19	-0.222656
21	20	-0.222656
21	21	3.78516
21	22	0.0351562
21	23	0.0585938
21	24	0.0351563
21	25	-0.210938
21	26	0.0117187
21	27	-0.375
21	28	-0.128906
21	29	0
21	30	-0.210938
21	31	0.0703125
22	0	0
22	1	0.046875
22	2	-0.0351562
22	3	-0.0820312
22	4	-0.210938
22	5	-0.0820312
22	6	-0.175781
22	7	-0.210938
22	8	-0.0820312
22	9	1.32906e-17
22	10	0.0585937
22	11	0.222656
22	12	0.0351563
22	13	0.046875
22	14	0.152344
22	15	0.0820313
22	16	-0.1875
22	17	-0.210937
22	18	0
22	19	-0.199219
22	20	-0.210937
22	21	-0.445313
22	22	-0.222656
22	23	-0.339844
22	24	-0.0585938
22	25	0.0585937
22	26	-0.0117187
22	27	-0.105469
22	28	-0.0117187
22	29	-0.0351562
22	30	-0.0234375
22	31	0.128906
23	0	0
23	1	0.128906
23	2	0.164062
23	3	0.128906
23	4	0.164062
23	5	0.105469
23	6	0.304688
23	7	0.246094
23	8	0.0234375
23	9	0.0234375
23	10	0.0820313
23	11	0.0117188
23	12	0.09375
23	13	0.046875
23	14	-0.0351562
23	15	0.09375
23	16	0.046875
23	17	0.0585938
23	18	-0.0117188
23	19	0.128906
23	20	-0.0585937
23	21	0.0820313
23	22	0.117188
23	23	0.375
23	24	0.0234375
23	25	-0.0117187
23	26	-0.0351563
23	27	-0.046875
23	28	-0.199219
23	29	-0.09375
23	30	0.0820313
23	31	0.0351563
24	0	0
24	1	0.0585938
24	2	-0.117187
24	3	0.105469
24	4	-0.0585937
24	5	-0.210937
24	6	-0.234375
24	7	-0.128906
24	8	1.53105e-17
24	9	0.0234375
24	10	0.304688
24	11	0.105469
24	12	0.28125
24	13	0.222656
24	14	0.0351562
24	15	0.292969
24	16	-0.1875
24	17	-0.140625
24	18	-0.117187
24	19	-0.316406
24	20	0
24	21	-0.28125
24	22	-0.351562
24	23	-0.457031
24	24	0.0820312
24	25	0
24	26	-0.0351563
24	27	0.128906
24	28	0.0820312
24	29	0.0117187
24	30	0.0117188
24	31	-2.90668e-18
25	0	0
25	1	0.0351562
25	2	0.046875
25	3	0.09375
25	4	0.0820312
25	5	0.328125
25	6	0.140625
25	7	0.105469
25	8	-0.0820313
25	9	-0.164063
25	10	-0.140625
25	11	-0.0703125
25	12	-0.128906
25	13	-0.117187
25	14	-0.046875
25	15	-0.117187
25	16	0.140625
25	17	0.246094
25	18	0.351562
25	19	0.09375
25	20	0.117187
25	21	0.246094
25	22	0.339844
25	23	0.1875
25	24	-0.128906
25	25	0.140625
25	26	0.0585938
25	27	-0.0703125
25	28	0.128906
25	29	-0.0351562
25	30	-0.175781
25	31	0.105469
26	0	0
