Plane	Strip	Speed
22 32 0.0596164
23 1 0.0600399
23 2 0.0593234
23 3 0.0584351
23 4 0.058068
23 5 0.0579032
23 6 0.0576429
23 7 0.0577173
23 8 0.0578245
23 9 0.0572693
23 10 0.0581296
23 11 0.0583813
23 12 0.0584195
23 13 0.0582471
23 14 0.0584562
23 15 0.0585905
23 16 0.059587
23 17 0.0588548
23 18 0.0589502
23 19 0.059381
23 20 0.0595903
23 21 0.0592824
23 22 0.0594296
23 23 0.0594129
23 24 0.0588666
23 25 0.0585483
23 26 0.0581043
23 27 0.0582837
23 28 0.0584522
23 29 0.0585921
23 30 0.0592332
23 31 0.0603181
23 32 0.0587035
24 1 0.0608668
24 2 0.061255
24 3 0.0610551
24 4 0.0606077
24 5 0.0608345
24 6 0.060643
24 7 0.0608968
24 8 0.0607924
24 9 0.0608172
24 10 0.0608775
24 11 0.0602333
24 12 0.0609823
24 13 0.0611117
24 14 0.0612207
24 15 0.0611312
24 16 0.0610991
24 17 0.0604523
24 18 0.0601797
24 19 0.0597945
24 21 0.0599198
24 22 0.0598987
24 23 0.0602218
24 24 0.0594456
24 25 0.0598297
24 26 0.0594519
24 27 0.0595913
24 28 0.0596316
24 29 0.0597459
24 30 0.0599956
24 31 0.061241
24 32 0.0604397
25 1 0.0629451
25 2 0.0625271
25 3 0.0621503
25 4 0.0616756
25 5 0.0617703
25 6 0.0622657
25 7 0.061279
25 8 0.0608324
25 9 0.0608716
25 10 0.0608398
25 11 0.0611826
25 12 0.061062
25 13 0.0610904
25 14 0.061304
25 15 0.0612372
25 16 0.0612149
25 17 0.0614496
25 18 0.0611602
25 19 0.0613804
25 20 0.0602704
25 21 0.0611719
25 22 0.0603296
25 23 0.060395
25 24 0.0600868
25 25 0.06085
25 26 0.0606638
25 27 0.0605513
25 28 0.060691
25 29 0.06051
25 30 0.0603455
25 31 0.0608326
25 32 0.0612407
26 2 0.0613812
26 3 0.0616305
26 4 0.0614269
26 5 0.0610819
26 6 0.0608549
26 7 0.0609309
26 8 0.0612623
26 9 0.0609421
26 10 0.0620683
26 11 0.0618798
26 12 0.0614526
26 13 0.0621806
26 14 0.0614368
26 15 0.0614556
26 16 0.0618685
26 17 0.0619337
26 18 0.0618331
26 19 0.061726
26 20 0.0612386
26 21 0.0626215
26 22 0.061354
26 23 0.0608634
26 24 0.0613153
26 25 0.061525
26 26 0.0617279
26 27 0.062614
26 28 0.0624489
26 29 0.0620219
26 30 0.0617917
26 31 0.062729
26 32 0.061804
27 1 0.0617986
27 2 0.0622564
27 3 0.0624484
27 4 0.0620379
27 5 0.0627892
27 6 0.0625993
27 7 0.0624922
27 8 0.0621457
27 9 0.0624388
27 10 0.062123
27 11 0.0612363
27 12 0.0616891
27 13 0.0615763
27 14 0.0618215
27 15 0.0615389
27 16 0.0610489
27 17 0.061736
27 18 0.0615482
27 19 0.0611997
27 20 0.0612613
27 21 0.0619215
27 22 0.0620256
27 23 0.0614348
27 24 0.0622734
27 25 0.0615199
27 26 0.0615972
27 27 0.0617836
27 28 0.0618793
27 29 0.062293
27 30 0.0625114
27 31 0.0655382
27 32 0.0621083
28 1 0.0608035
28 2 0.0634016
28 3 0.0613205
28 4 0.0625552
28 5 0.0633125
28 6 0.0627425
28 7 0.0619809
28 8 0.0617531
28 9 0.0629173
28 10 0.0623451
28 11 0.0623264
28 12 0.0622624
28 13 0.0629783
28 14 0.062729
28 15 0.0621899
28 16 0.0608347
28 17 0.0618933
28 18 0.0620471
28 19 0.0620311
28 20 0.061665
28 21 0.0610368
28 22 0.0620328
28 23 0.0630288
28 24 0.0627691
28 25 0.0630642
28 26 0.0625524
28 27 0.0633328
28 28 0.0625452
28 29 0.0624384
28 30 0.0630189
28 31 0.0680375
28 32 0.0622637
29 1 0.0609784
29 2 0.0612657
29 3 0.0605651
29 4 0.059937
29 5 0.0602695
29 6 0.0591475
29 7 0.0594258
29 8 0.0701974
29 9 0.0591409
29 10 0.0585454
29 11 0.0587396
29 12 0.0581138
29 13 0.0583558
29 14 0.0588976
29 15 0.0589255
29 16 0.0595265
29 17 0.0593805
29 18 0.0588659
29 19 0.0585363
29 20 0.0591235
29 21 0.0590082
29 22 0.0586471
29 23 0.0599258
29 24 0.0593903
29 25 0.0592614
29 26 0.0598049
29 27 0.0597403
29 28 0.0602922
29 29 0.0608786
29 30 0.0623234
29 31 0.0650447
29 32 0.0596795
30 1 0.0598889
30 2 0.0606875
30 3 0.060947
30 4 0.0609405
30 5 0.0608336
30 6 0.0607873
30 7 0.0607683
30 8 0.0600075
30 9 0.0608793
30 10 0.0607112
30 11 0.0604408
30 12 0.0602711
30 13 0.0637613
30 14 0.0613654
30 15 0.0600561
30 17 0.0594405
30 18 0.0612867
30 19 0.0601569
30 20 0.0599846
30 21 0.0603994
30 22 0.0618767
30 23 0.0646289
30 24 0.0695768
30 25 0.0632835
30 26 0.0635713
30 27 0.060946
30 28 0.0604886
30 29 0.0636356
30 30 0.0617584
30 31 0.0676358
30 32 0.0641227
31 1 0.063952
31 2 0.062992
