Common TimeShift, ns
566
Plane	 Strip	 TimeShift, ns
14	3	22.4372
14	4	22.4508
14	5	22.4608
14	6	22.4451
14	7	22.4344
14	8	22.4653
14	9	22.4464
14	10	22.4488
14	11	22.4331
14	12	22.4513
14	13	22.4481
14	14	22.4508
14	15	22.4582
14	16	22.5012
14	17	22.4739
14	18	22.4614
14	19	22.4681
14	20	22.4463
14	21	22.4631
14	22	22.4425
14	23	22.4363
14	24	22.4479
14	25	22.4605
14	26	22.4417
14	27	22.4294
14	28	22.4601
14	29	22.4376
14	30	22.446
14	31	22.4718
15	0	21.2901
15	1	21.983
15	2	21.9656
15	3	21.9733
15	4	21.9714
15	5	21.9554
15	6	21.9628
15	7	21.9696
15	8	21.9627
15	9	21.9813
15	10	21.963
15	11	21.9719
15	12	21.9802
15	13	21.9803
15	14	21.9763
15	15	21.9723
15	16	21.9725
15	17	21.9942
15	18	21.9484
15	19	21.9628
15	20	21.9633
15	21	21.9613
15	22	21.9682
15	23	21.9523
15	24	21.9503
15	25	21.9476
15	26	21.9614
15	27	21.9445
15	28	21.9462
15	29	21.9663
15	30	21.9542
15	31	21.9441
16	0	21.4962
16	1	22.2177
16	2	22.2238
16	3	22.2007
16	4	22.2106
16	5	22.2133
16	6	22.1894
16	7	22.2059
16	8	22.2091
16	9	22.207
16	10	22.2074
16	11	22.202
16	12	22.2102
16	13	22.2007
16	14	22.2211
16	15	22.2022
16	16	22.1892
16	17	22.2119
16	18	22.2
16	19	22.224
16	20	22.2059
16	21	22.2191
16	22	22.2126
16	23	22.2163
16	24	22.1912
16	25	22.2066
16	26	22.1891
16	27	22.2051
16	28	22.1941
16	29	22.1921
16	30	22.1978
16	31	22.211
17	0	21.1274
17	1	21.7555
17	2	21.7428
17	3	21.7438
17	4	21.7339
17	5	21.7508
17	6	21.7455
17	7	21.7495
17	8	21.7539
17	9	21.7417
17	10	21.7659
17	11	21.7333
17	12	21.7362
17	13	21.746
17	14	21.7508
17	15	21.7361
17	16	21.7532
17	17	21.7214
17	18	21.7311
17	19	21.731
17	20	21.7361
17	21	21.7556
17	22	21.743
17	23	21.7392
17	24	21.7459
17	25	21.7392
17	26	21.7406
17	27	21.7435
17	28	21.7319
17	29	21.7383
17	30	21.7415
17	31	21.7422
18	0	21.3554
18	1	22.0076
18	2	22.0169
18	3	22.0103
18	4	21.9848
18	5	22.0023
18	6	22.0082
18	7	21.9862
18	8	22.0046
18	9	22.0056
18	10	21.9732
18	11	22.0154
18	12	22.005
18	13	21.9717
18	14	21.9819
18	15	22
18	16	21.9744
18	17	21.9493
18	18	21.9734
18	19	21.94
18	20	21.9737
18	21	21.9702
18	22	21.9713
18	23	21.9691
18	24	21.9926
18	25	21.9928
18	26	21.9745
18	27	22.0042
18	28	21.9595
18	29	22.0046
18	30	21.9952
18	31	22.0058
19	0	21.723
19	1	22.4101
19	2	22.392
19	3	22.3676
19	4	22.3963
19	5	22.3788
19	6	22.3993
19	7	22.3692
19	8	22.3967
19	9	22.3833
19	10	22.3957
19	11	22.3494
19	12	22.4016
19	13	22.3994
19	14	22.3936
19	15	22.3587
19	16	21.7164
19	17	22.366
19	18	22.3742
19	19	22.3653
19	20	22.3801
19	21	22.3944
19	22	22.4076
19	23	22.3717
19	24	22.3823
19	25	22.3504
19	26	22.3756
19	27	22.3674
19	28	22.3745
19	29	22.3967
19	30	22.3822
19	31	22.4015
20	0	21.0104
20	1	21.6183
20	2	21.6216
20	3	21.6017
20	4	21.6016
20	5	21.6088
20	6	21.5746
20	7	21.5473
20	8	21.5807
20	9	21.5604
20	10	21.572
20	11	21.4823
20	12	21.5406
20	13	21.599
20	14	21.604
20	15	21.5716
20	16	21.593
20	17	21.5797
20	18	21.5409
20	19	21.5666
20	20	21.5672
20	21	21.5723
20	22	21.5953
20	23	21.5924
20	24	21.5503
20	25	21.5923
20	26	21.5827
20	27	21.5856
20	28	21.5683
20	29	21.5748
20	30	21.6038
20	31	21.5867
21	0	20.9231
21	1	21.5093
21	2	21.5039
21	3	21.4959
21	4	21.5061
21	5	21.5154
