Final TimeShift. ns
-248
Plane  Strip  TimeShift. ns
19 2 8.5866045
19 3 8.5752939
19 4 8.5664985
19 5 8.5547171
19 6 8.5481749
19 7 8.5407457
19 8 8.5399773
19 9 8.5231655
19 10 8.5196067
19 11 8.5116098
19 12 8.5078660
19 13 8.5002344
19 14 8.4996022
19 15 8.4815531
19 16 8.4824470
19 17 8.4836992
19 18 8.4738144
19 19 8.4664732
19 20 8.4663556
19 21 8.4652603
19 22 8.4560225
19 23 8.4555660
19 24 8.4617499
19 25 8.4469134
19 26 8.4425107
19 27 8.4344748
19 28 8.4413725
19 29 8.4275561
19 30 8.4337680
19 31 8.4337567
19 32 8.4307330
19 33 8.4330448
19 34 8.4268858
19 35 8.4291730
19 36 8.4166497
19 37 8.4250544
19 38 8.4221275
19 39 8.4267744
19 40 8.4220800
19 41 8.4200298
19 42 8.4205707
19 43 8.4222014
19 44 8.4178906
19 45 8.4192200
19 46 8.4226862
19 47 8.4226353
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  

  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
