Common TimeShift, ns
-248 ns
Plane	 Strip	 TimeShift, ns
17 8 8.32299
17 9 8.31622
17 10 8.30964
17 11 8.30328
17 12 8.29711
17 13 8.29115
17 14 8.2854
17 15 8.27985
17 16 8.27451
17 17 8.26938
17 18 8.26445
17 19 8.25973
17 20 8.25522
17 21 8.25092
17 22 8.24682
17 23 8.24294
17 24 8.23926
17 25 8.2358
17 26 8.23254
17 27 8.22949
17 28 8.22665
17 29 8.22403
17 30 8.22161
17 31 8.21941
17 32 8.21741
17 33 8.21563
17 34 8.21406
17 35 8.2127
17 36 8.21155
17 37 8.21061
17 38 8.20988
17 39 8.20937
17 40 8.20907
17 41 8.20898
17 42 8.2091
17 43 8.20943
17 44 8.20998
17 45 8.21073
17 46 8.2117
17 47 8.21288
18 0 8.57873
18 1 8.57053
18 2 8.56253
18 3 8.55473
18 4 8.54712
18 5 8.5397
18 6 8.53249
18 7 8.52547
18 8 8.51865
18 9 8.51203
18 10 8.50561
18 11 8.49939
18 12 8.49337
18 13 8.48755
18 14 8.48193
18 15 8.47651
18 16 8.47129
18 17 8.46628
18 18 8.46146
18 19 8.45686
18 20 8.45245
18 21 8.44825
18 22 8.44425
18 23 8.44045
18 24 8.43686
18 25 8.43348
18 26 8.4303
18 27 8.42732
18 28 8.42455
18 29 8.42199
18 30 8.41963
18 31 8.41747
18 32 8.41553
18 33 8.41378
18 34 8.41225
18 35 8.41092
18 36 8.4098
18 37 8.40888
18 38 8.40818
18 39 8.40767
18 40 8.40738
18 41 8.40729
18 42 8.40741
18 43 8.40773
18 44 8.40827
18 45 8.409
18 46 8.40995
18 47 8.4111
19 0 8.58844
19 1 8.58025
19 2 8.57226
19 3 8.56446
19 4 8.55686
19 5 8.54946
19 6 8.54225
19 7 8.53524
19 8 8.52843
19 9 8.52182
19 10 8.5154
19 11 8.50919
19 12 8.50317
19 13 8.49736
19 14 8.49175
19 15 8.48633
19 16 8.48112
19 17 8.47611
19 18 8.47131
19 19 8.4667
19 20 8.4623
19 21 8.45811
