"Message ID";"Date";"Author";"Type";"Category";"Subject";"N Run";"Shift leader";"Trigger";"DAQ status";"Mag. field";"Beam"
82;Sat  10 Dec 2016 11:21:05 +0300;"shift";"Inform All";"General";;"496";"Piyadin S.M.";"Only BC1";"All detectors in DAQ";"SP-41 = 1500A(94.2mV), SP-57 =550A(IP-600), VKM2=0A(IP-300)";"d 4 GeV/n, target C"
83;Sat  10 Dec 2016 11:41:40 +0300;"shift";"Configuration";"General";"First run with mag field 1500 A, run 461";"461-467";"Yurevich";"Beam trigger: T0+BC1+BC2+Veto";"as in run 458 GEM DCH ToF-700 ToF-400 MWPC";"1500 A, 95.3 mV";"40-50k events per spill"
84;Sat  10 Dec 2016 11:42:30 +0300;"shift";"Inform All";"General";;"497";"Piyadin S.M.";"Only BC1";"All detectors in DAQ";"SP-41 = 1500A(94.2mV), SP-57 =0A(IP-600), VKM2=50A(IP-300)";"d 4 GeV/n, target C"
85;Sat  10 Dec 2016 11:45:48 +0300;"shift";"Inform All";"General";;"498";"Piyadin S.M.";"Only BC1";"All detectors in DAQ";"SP-41 = 1500A(94.2mV), SP-57 =0A(IP-600), VKM2=100A(IP-300)";"d 4 GeV/n, target C"
86;Sat  10 Dec 2016 11:51:19 +0300;"shift";"Inform All";"General";;"499";"Piyadin S.M.";"Only BC1";"All detectors in DAQ";"SP-41 = 1500A(94.2mV), SP-57 =0A(IP-600), VKM2=150A(IP-300)";"d 4 GeV/n, target C"
87;Sat  10 Dec 2016 11:58:25 +0300;"shift";"Inform All";"General";;"500";"Piyadin S.M.";"Only BC1";"All detectors in DAQ";"SP-41 = 1500A(94.2mV), SP-57 =0A(IP-600), VKM2=200A(IP-300)";"d 4 GeV/n, target C"
88;Sat  10 Dec 2016 12:04:03 +0300;"shift";"Inform All";"General";;"501";"Piyadin S.M.";"Only BC1";"All detectors in DAQ";"SP-41 = 1500A(94.2mV), SP-57 =0A(IP-600), VKM2=250A(IP-300)";"d 4 GeV/n, target C"
89;Sat  10 Dec 2016 12:40:10 +0300;"shift";"Inform All";"General";;"504";"Piyadin S.M.";"Beam trigger: T0+BC1+BC2+Veto";"All detectors in DAQ - ZDC";"1600 A (98.4 mV) next run with sp-57 = 0A i perepolyusovan VKM2=0A";"d 4 GeV/n, target C"
90;Sat  10 Dec 2016 13:02:06 +0300;"shift";"Other";"General";;"506";"Piyadin S.M.";"T0+BC1+BC2+Veto";"All detectors in DAQ - ZDC";"1700 A, 103 mv";"d 4 GeV/n, target C"
91;Sat  10 Dec 2016 13:36:22 +0300;"shift";"Other";"General";;"507";"Piyadin S.M.";"T0+BC1+BC2+Veto";"All detectors in DAQ - ZDC";"1700 A, 103 mv";"d 4 GeV/n, target C"
